 	EN	CN	DE	FR	ES	JP	KO	TC
^start_game	Game Start	开始游戏						開始遊戲
^target_portrait	Target Portrait	目标画像						目標畫像
^text_system	System	系统						系統
^btn_mail	Email	邮箱						郵箱
^btn_search	Search Engine	搜索引擎						搜索引擎
^btn_social	Social Engineering Tools	社工工具						社工工具
^btn_chat	Hitalk	Hitalk						Hitalk
^tab_inBox	Inbox	收件箱						收件箱
^tab_write	Compose	写信						寫信
^tab_sended	Sent	已发送						已發送
^tab_dustbin	Trash	垃圾箱						垃圾箱
^tab_changeAcc	Switch User	切换账号						切換賬號
^target_name	Mission ID:	任务编号：						任務編號：
^tab_social	Database	数据库						數據庫
^tab_search	Search	搜索						搜索
^tab_camouflage	Phishing	伪装						偽裝
^tab_jiankong	Surveillance	监控						監控
^tab_picAls	Picture Analysis	图片分析						圖片分析
^tab_fishing	Hacking	入侵						入侵
^tab_taohua	Phishing Chat	伪装套话						偽裝套話
^tab_crack	Crack	破解						破解
^tab_chat	Chat	聊天						聊天
^input_search	Search	搜索						搜索
^write_ing	Entering/Typing	输入中						輸入中
^week_Monday	Monday	星期一						星期一
^week_Tuesday	Tuesday	星期二						星期二
^week_Wednesday	Wednesday	星期三						星期三
^week_Thursday	Thursday	星期四						星期四
^week_Friday	Friday	星期五						星期五
^week_Saturday	Saturday	星期六						星期六
^week_Sunday	Sunday	星期日						星期日
^set_setting	Settings	设置						設置
^new_txt	News	新闻						新聞
^link_event_01_title	Top Stories in Finance: After the recent suicide of Kapil Modi,\n a competitor’s stock price skyrockets.	最新财经：Kapil Modi自杀之后，其对手公司近日股价连续大涨						最新財經：Kapil Modi自殺之後，其對手公司近日股價連續大漲
^link_event_01_desc	After the suicide of Kapil Modi, founder of Defoss, reports circulated of poor management within the company. Shortly after the tragic event, Devos shut its doors. A competitor capitalized on the opportunity for market share, launching a rival drone delivery service. The endeavour won over investors by demonstrating the convenience and advantages of drone technology.	据传在迪福斯创始人Kapil Modi自杀后，公司管理陷入混乱，其对手公司趁机发布新的无人机产品计划，并勾勒了一副未来利用无人机为人们生活提供便利的美好画面，获得众多投资人的青睐……						據傳在迪福斯創始人Kapil Modi自殺後，公司管理陷入混亂，其對手公司趁機發佈新的無人機產品計畫，並勾勒了一副未來利用無人機為人們生活提供便利的美好畫面，獲得眾多投資人的青睞……
